ticketcount,url,duration
6,rest/v1/accounts/22035/tickets,494
13,rest/v1/accounts/19623/tickets,724
2,rest/v1/accounts/22971/tickets,215
12,rest/v1/accounts/19468/tickets,158
7,rest/v1/accounts/22138/tickets,660
4,rest/v1/accounts/20138/tickets,246
8,rest/v1/accounts/21537/tickets,207
5,rest/v1/accounts/22167/tickets,398
9,rest/v1/accounts/21574/tickets,373
9,rest/v1/accounts/21600/tickets,255
3,rest/v1/accounts/19959/tickets,345
12,rest/v1/accounts/22932/tickets,344
9,rest/v1/accounts/19736/tickets,271
7,rest/v1/accounts/21415/tickets,698
4,rest/v1/accounts/21114/tickets,693
10,rest/v1/accounts/20559/tickets,493
4,rest/v1/accounts/21162/tickets,777
11,rest/v1/accounts/23083/tickets,235
8,rest/v1/accounts/20270/tickets,766
22,rest/v1/accounts/21597/tickets,666
22,rest/v1/accounts/20349/tickets,794
19,rest/v1/accounts/20196/tickets,232
5,rest/v1/accounts/22967/tickets,422
11,rest/v1/accounts/23240/tickets,603
11,rest/v1/accounts/19560/tickets,611
2,rest/v1/accounts/22769/tickets,386
2,rest/v1/accounts/20132/tickets,285
16,rest/v1/accounts/22861/tickets,669
25,rest/v1/accounts/19832/tickets,128
16,rest/v1/accounts/20449/tickets,578
9,rest/v1/accounts/23338/tickets,765
13,rest/v1/accounts/20249/tickets,477
25,rest/v1/accounts/21113/tickets,744
15,rest/v1/accounts/20118/tickets,675
6,rest/v1/accounts/19953/tickets,319
2,rest/v1/accounts/21656/tickets,409
15,rest/v1/accounts/19480/tickets,756
1,rest/v1/accounts/21526/tickets,225
4,rest/v1/accounts/19447/tickets,591
9,rest/v1/accounts/20423/tickets,335
10,rest/v1/accounts/21946/tickets,695
9,rest/v1/accounts/21181/tickets,167
7,rest/v1/accounts/19695/tickets,356
16,rest/v1/accounts/22265/tickets,252
16,rest/v1/accounts/22857/tickets,588
12,rest/v1/accounts/23197/tickets,143
11,rest/v1/accounts/23158/tickets,785
12,rest/v1/accounts/20815/tickets,302
12,rest/v1/accounts/20641/tickets,594
21,rest/v1/accounts/20988/tickets,677
24,rest/v1/accounts/22914/tickets,760
3,rest/v1/accounts/21977/tickets,457
9,rest/v1/accounts/23046/tickets,221
20,rest/v1/accounts/23069/tickets,345
24,rest/v1/accounts/23426/tickets,150
24,rest/v1/accounts/21788/tickets,286
25,rest/v1/accounts/19529/tickets,666
2,rest/v1/accounts/21698/tickets,783
13,rest/v1/accounts/21090/tickets,712
12,rest/v1/accounts/19327/tickets,362
3,rest/v1/accounts/20380/tickets,676
6,rest/v1/accounts/21310/tickets,661
21,rest/v1/accounts/19818/tickets,509
22,rest/v1/accounts/20377/tickets,481
20,rest/v1/accounts/22388/tickets,127
20,rest/v1/accounts/21700/tickets,520
25,rest/v1/accounts/20459/tickets,531
14,rest/v1/accounts/19893/tickets,505
4,rest/v1/accounts/22585/tickets,763
23,rest/v1/accounts/23663/tickets,468
9,rest/v1/accounts/20671/tickets,262
16,rest/v1/accounts/20057/tickets,218
25,rest/v1/accounts/20795/tickets,108
21,rest/v1/accounts/23350/tickets,110
16,rest/v1/accounts/19366/tickets,763
13,rest/v1/accounts/19934/tickets,413
2,rest/v1/accounts/22814/tickets,247
20,rest/v1/accounts/23671/tickets,107
1,rest/v1/accounts/23021/tickets,678
6,rest/v1/accounts/20459/tickets,415
10,rest/v1/accounts/19461/tickets,333
6,rest/v1/accounts/21688/tickets,554
10,rest/v1/accounts/21549/tickets,289
20,rest/v1/accounts/21496/tickets,201
25,rest/v1/accounts/23171/tickets,658
17,rest/v1/accounts/21729/tickets,368
15,rest/v1/accounts/23548/tickets,265
6,rest/v1/accounts/21247/tickets,501
3,rest/v1/accounts/23641/tickets,332
19,rest/v1/accounts/20334/tickets,116
1,rest/v1/accounts/19703/tickets,776
17,rest/v1/accounts/22038/tickets,133
21,rest/v1/accounts/23386/tickets,261
17,rest/v1/accounts/20313/tickets,670
9,rest/v1/accounts/21729/tickets,554
13,rest/v1/accounts/19924/tickets,272
24,rest/v1/accounts/19869/tickets,265
9,rest/v1/accounts/21271/tickets,392
13,rest/v1/accounts/22873/tickets,641
2,rest/v1/accounts/21427/tickets,764
